Gmt time,Ask,Bid,AskVolume,BidVolume
07.04.2023 07:20:16.846,13052.181,13048.659,0.0004,0.0004
07.04.2023 07:20:16.954,13052.103000000001,13048.729,0.0004,0.0004
07.04.2023 07:20:17.004,13052.291000000001,13048.788999999999,0.0004,0.0004
07.04.2023 07:20:21.393,13052.121000000001,13048.817,0.0004,0.0004
07.04.2023 07:20:21.444,13052.131000000001,13048.618999999999,0.0004,0.0004
07.04.2023 07:20:21.555,13052.173,13048.729,0.0004,0.0004
07.04.2023 07:20:21.606,13052.261,13048.708999999999,0.0004,0.0004
07.04.2023 07:20:31.797,13051.701000000001,13048.288999999999,0.0004,0.0012
07.04.2023 07:20:31.847,13051.761,13048.259,0.0004,0.0004
07.04.2023 07:20:33.903,13051.683,13048.579,0.0004,0.0004
07.04.2023 07:20:33.953,13052.041000000001,13048.538999999999,0.0004,0.0004
07.04.2023 07:20:41.024,13051.803,13048.749,0.0004,0.0004
07.04.2023 07:20:41.075,13052.201000000001,13048.788999999999,0.0004,0.0004
07.04.2023 07:20:43.641,13052.091,13048.797,0.0004,0.0004
07.04.2023 07:20:43.691,13052.141000000001,13048.698999999999,0.0004,0.0004
07.04.2023 07:20:43.800,13052.031,13048.798999999999,0.0004,0.0012
07.04.2023 07:20:43.850,13052.011,13048.589,0.0004,0.0004
07.04.2023 07:20:45.182,13052.073,13048.628999999999,0.0004,0.0004
07.04.2023 07:20:45.233,13052.091,13048.679,0.0004,0.0004
07.04.2023 07:20:47.355,13052.011,13048.707,0.0004,0.0004
07.04.2023 07:20:47.405,13052.071000000002,13048.559,0.0004,0.0004
07.04.2023 07:20:52.235,13052.093,13048.798999999999,0.0004,0.0004
07.04.2023 07:20:52.286,13052.201000000001,13048.729,0.0004,0.0004
07.04.2023 07:21:00.675,13052.183,13048.819,0.0004,0.0004
07.04.2023 07:21:00.726,13052.101,13048.858999999999,0.0004,0.0004
07.04.2023 07:21:00.835,13051.681,13048.389,0.0004,0.0012
07.04.2023 07:21:00.886,13051.591,13048.149,0.0004,0.0004
07.04.2023 07:21:00.994,13051.623000000001,13048.298999999999,0.0004,0.0004
07.04.2023 07:21:01.045,13051.731000000002,13048.278999999999,0.0004,0.0004
07.04.2023 07:21:02.192,13051.763,13048.389,0.0004,0.0004
07.04.2023 07:21:02.242,13051.801000000001,13048.368999999999,0.0004,0.0004
07.04.2023 07:21:04.983,13051.711000000001,13048.317,0.0004,0.0004
07.04.2023 07:21:05.033,13051.721000000001,13048.288999999999,0.0004,0.0004
07.04.2023 07:21:06.333,13051.703000000001,13048.389,0.0004,0.0004
07.04.2023 07:21:06.384,13051.891000000001,13048.319,0.0004,0.0004
07.04.2023 07:21:09.504,13051.823,13048.569,0.0004,0.0004
07.04.2023 07:21:09.555,13052.081000000002,13048.548999999999,0.0004,0.0004
07.04.2023 07:21:12.223,13051.751000000002,13048.249,0.0004,0.0012
07.04.2023 07:21:12.273,13051.771,13048.269,0.0004,0.0004
07.04.2023 07:21:17.821,13051.723,13048.368999999999,0.0004,0.0004
07.04.2023 07:21:17.871,13051.841,13048.378999999999,0.0004,0.0004
07.04.2023 07:21:17.980,13051.781,13048.327,0.0004,0.0004
07.04.2023 07:21:18.031,13051.721000000001,13048.309,0.0004,0.0004
07.04.2023 07:21:19.757,13051.793000000001,13048.889,0.0004,0.0004
07.04.2023 07:21:19.807,13052.121000000001,13048.608999999999,0.0004,0.0004
07.04.2023 07:21:20.666,13052.071000000002,13048.667,0.0004,0.0004
07.04.2023 07:21:20.717,13052.051000000001,13048.599,0.0004,0.0004
07.04.2023 07:21:39.063,13052.083,13048.989,0.0004,0.0004
07.04.2023 07:21:39.114,13052.231000000002,13048.769,0.0004,0.0004
07.04.2023 07:21:43.543,13052.531,13049.079,0.0004,0.0004
