Symbol, Date, Open, High, Low, Close, Volume
MCD, 2021-10-27T15:55:00.000Z, 0.8099, 0.80995, 0.8098, 0.80985, -1
MCD, 2021-10-27T15:56:00.000Z, 0.80985, 0.80995, 0.80975, 0.80995, -1
MCD, 2021-10-27T15:57:00.000Z, 0.80995, 0.81025, 0.8099, 0.8102, -1
MCD, 2021-10-27T15:58:00.000Z, 0.8102, 0.81025, 0.81005, 0.8102, -1
MCD, 2021-10-27T15:59:00.000Z, 0.8102, 0.8103, 0.81005, 0.8103, -1
MCD, 2021-10-27T16:00:00.000Z, 0.8103, 0.81075, 0.8102, 0.8106, -1
MCD, 2021-10-27T16:01:00.000Z, 0.8106, 0.8106, 0.8103, 0.8104, -1
MCD, 2021-10-27T16:02:00.000Z, 0.8104, 0.8104, 0.8102, 0.8102, -1
MCD, 2021-10-27T16:03:00.000Z, 0.8102, 0.81025, 0.81, 0.81015, -1
MCD, 2021-10-27T16:04:00.000Z, 0.81015, 0.81025, 0.8101, 0.8102, -1
MCD, 2021-10-27T16:05:00.000Z, 0.8102, 0.8104, 0.81015, 0.81035, -1
MCD, 2021-10-27T16:06:00.000Z, 0.81035, 0.8104, 0.8102, 0.8104, -1
MCD, 2021-10-27T16:07:00.000Z, 0.8104, 0.8105, 0.8104, 0.8104, -1
MCD, 2021-10-27T16:08:00.000Z, 0.8104, 0.81055, 0.81005, 0.8102, -1
MCD, 2021-10-27T16:09:00.000Z, 0.8102, 0.81045, 0.8101, 0.8104, -1
MCD, 2021-10-27T16:10:00.000Z, 0.8104, 0.8104, 0.8102, 0.8102, -1
MCD, 2021-10-27T16:11:00.000Z, 0.8102, 0.8102, 0.8101, 0.81015, -1
MCD, 2021-10-27T16:12:00.000Z, 0.81015, 0.8103, 0.81, 0.81025, -1
MCD, 2021-10-27T16:13:00.000Z, 0.81025, 0.8104, 0.81025, 0.8104, -1
MCD, 2021-10-27T16:14:00.000Z, 0.8104, 0.8104, 0.8103, 0.8103, -1
MCD, 2021-10-27T16:15:00.000Z, 0.8103, 0.81045, 0.81025, 0.8103, -1
MCD, 2021-10-27T16:16:00.000Z, 0.8103, 0.81035, 0.8102, 0.8103, -1
MCD, 2021-10-27T16:17:00.000Z, 0.8103, 0.8103, 0.8099, 0.81005, -1
MCD, 2021-10-27T16:18:00.000Z, 0.81005, 0.81025, 0.81, 0.8102, -1
MCD, 2021-10-27T16:19:00.000Z, 0.8102, 0.8103, 0.8102, 0.81025, -1
MCD, 2021-10-27T16:20:00.000Z, 0.81025, 0.8104, 0.81025, 0.81035, -1
MCD, 2021-10-27T16:21:00.000Z, 0.81035, 0.8104, 0.8103, 0.8104, -1
MCD, 2021-10-27T16:22:00.000Z, 0.8104, 0.8105, 0.8104, 0.8105, -1
MCD, 2021-10-27T16:23:00.000Z, 0.8105, 0.81055, 0.8103, 0.8105, -1
MCD, 2021-10-27T16:24:00.000Z, 0.8105, 0.8107, 0.8105, 0.8107, -1
MCD, 2021-10-27T16:25:00.000Z, 0.8107, 0.81085, 0.8106, 0.8108, -1
MCD, 2021-10-27T16:26:00.000Z, 0.8108, 0.8109, 0.8107, 0.8109, -1
MCD, 2021-10-27T16:27:00.000Z, 0.8109, 0.811, 0.8108, 0.8109, -1
MCD, 2021-10-27T16:28:00.000Z, 0.8109, 0.811, 0.8108, 0.8109, -1
MCD, 2021-10-27T16:29:00.000Z, 0.8109, 0.811, 0.8108, 0.811, -1
MCD, 2021-10-27T16:30:00.000Z, 0.811, 0.811, 0.8109, 0.8109, -1
MCD, 2021-10-27T16:31:00.000Z, 0.8109, 0.81105, 0.8109, 0.8109, -1
MCD, 2021-10-27T16:32:00.000Z, 0.8109, 0.811, 0.8109, 0.811, -1
MCD, 2021-10-27T16:33:00.000Z, 0.811, 0.811, 0.8109, 0.811, -1
MCD, 2021-10-27T16:34:00.000Z, 0.811, 0.8111, 0.811, 0.811, -1
MCD, 2021-10-27T16:35:00.000Z, 0.811, 0.8111, 0.811, 0.8111, -1
MCD, 2021-10-27T16:36:00.000Z, 0.8111, 0.8111, 0.811, 0.8111, -1
MCD, 2021-10-27T16:37:00.000Z, 0.8111, 0.8112, 0.8111, 0.8112, -1
MCD, 2021-10-27T16:38:00.000Z, 0.8112, 0.8113, 0.8112, 0.8113, -1
MCD, 2021-10-27T16:39:00.000Z, 0.8113, 0.8113, 0.8112, 0.8112, -1
MCD, 2021-10-27T16:40:00.000Z, 0.8112, 0.8112, 0.811, 0.8112, -1
MCD, 2021-10-27T16:41:00.000Z, 0.8112, 0.8112, 0.8111, 0.8112, -1
MCD, 2021-10-27T16:42:00.000Z, 0.8112, 0.8112, 0.8111, 0.8111, -1
MCD, 2021-10-27T16:43:00.000Z, 0.8111, 0.8112, 0.8111, 0.8111, -1
MCD, 2021-10-27T16:44:00.000Z, 0.8111, 0.8112, 0.811, 0.8111, -1
MCD, 2021-10-27T16:45:00.000Z, 0.8111, 0.8111, 0.81085, 0.8109, -1
MCD, 2021-10-27T16:46:00.000Z, 0.8109, 0.811, 0.8109, 0.811, -1
MCD, 2021-10-27T16:47:00.000Z, 0.811, 0.8111, 0.811, 0.8111, -1
MCD, 2021-10-27T16:48:00.000Z, 0.8111, 0.8112, 0.811, 0.8112, -1
MCD, 2021-10-27T16:49:00.000Z, 0.8112, 0.8113, 0.8111, 0.81125, -1
MCD, 2021-10-27T16:50:00.000Z, 0.81125, 0.8114, 0.8112, 0.81135, -1
MCD, 2021-10-27T16:51:00.000Z, 0.81135, 0.8114, 0.8112, 0.8112, -1
MCD, 2021-10-27T16:52:00.000Z, 0.8112, 0.8113, 0.81115, 0.8112, -1
MCD, 2021-10-27T16:53:00.000Z, 0.8112, 0.8112, 0.8111, 0.8111, -1
MCD, 2021-10-27T16:54:00.000Z, 0.8111, 0.8112, 0.8111, 0.8111, -1
MCD, 2021-10-27T16:55:00.000Z, 0.8111, 0.8111, 0.811, 0.811, -1
MCD, 2021-10-27T16:56:00.000Z, 0.811, 0.8112, 0.811, 0.8112, -1
MCD, 2021-10-27T16:57:00.000Z, 0.8112, 0.8112, 0.8111, 0.8112, -1
MCD, 2021-10-27T16:58:00.000Z, 0.8112, 0.81125, 0.8109, 0.81095, -1
MCD, 2021-10-27T16:59:00.000Z, 0.81095, 0.811, 0.8108, 0.8108, -1
MCD, 2021-10-27T17:00:00.000Z, 0.8108, 0.81085, 0.81075, 0.81085, -1
MCD, 2021-10-27T17:01:00.000Z, 0.81085, 0.81085, 0.81065, 0.81075, -1
MCD, 2021-10-27T17:02:00.000Z, 0.81075, 0.811, 0.8107, 0.811, -1
MCD, 2021-10-27T17:03:00.000Z, 0.811, 0.811, 0.8109, 0.811, -1
MCD, 2021-10-27T17:04:00.000Z, 0.811, 0.8111, 0.81095, 0.811, -1
MCD, 2021-10-27T17:05:00.000Z, 0.811, 0.81115, 0.8108, 0.81085, -1
MCD, 2021-10-27T17:06:00.000Z, 0.81085, 0.81095, 0.8108, 0.8109, -1
MCD, 2021-10-27T17:07:00.000Z, 0.8109, 0.81115, 0.8109, 0.811, -1
MCD, 2021-10-27T17:08:00.000Z, 0.811, 0.8112, 0.811, 0.8111, -1
MCD, 2021-10-27T17:09:00.000Z, 0.8111, 0.8112, 0.81105, 0.81115, -1
MCD, 2021-10-27T17:10:00.000Z, 0.81115, 0.81135, 0.8111, 0.81135, -1
MCD, 2021-10-27T17:11:00.000Z, 0.81135, 0.8114, 0.8113, 0.8114, -1
MCD, 2021-10-27T17:12:00.000Z, 0.8114, 0.81155, 0.8114, 0.81155, -1
MCD, 2021-10-27T17:13:00.000Z, 0.81155, 0.8116, 0.8115, 0.81155, -1
MCD, 2021-10-27T17:14:00.000Z, 0.81155, 0.8116, 0.8115, 0.8116, -1
MCD, 2021-10-27T17:15:00.000Z, 0.8116, 0.8117, 0.81155, 0.81155, -1
MCD, 2021-10-27T17:16:00.000Z, 0.81155, 0.81155, 0.8112, 0.81125, -1
MCD, 2021-10-27T17:17:00.000Z, 0.81125, 0.81135, 0.811, 0.81105, -1
MCD, 2021-10-27T17:18:00.000Z, 0.81105, 0.8112, 0.811, 0.8111, -1
MCD, 2021-10-27T17:19:00.000Z, 0.8111, 0.81125, 0.81105, 0.8112, -1
