Open Time ET,Side,Qty Open,Symbol,Descrip,Avg Price Open,Qty Closed,Closed Time ET,Avg Price Closed,DD as %,DD $,DD Time ET,DD Quant,DD Worst Price,Trade P/L
2022-09-14 08:00:00,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12014.1465,1,2022-09-14 09:47:00,12110.8050,-0.96,-241.21,2022-09-14 09:46:00,1,12134.8000,-194.00
2022-09-13 21:08:07,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12027.0033,1,2022-09-13 21:17:45,12042.2854,-0.14,-35.49,2022-09-13 21:16:00,1,12044.8000,-32.00
2022-09-13 19:00:00,SHORT,2,@MNQU2,MICRO E-MINI NASDAQ 100,12060.2171,2,2022-09-13 21:01:00,12035.6842,-0.08,-20.13,2022-09-13 19:02:00,2,12065.2000,96.00
2022-09-13 08:38:39,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12429.8617,1,2022-09-13 10:00:18,12294.2254,-0.30,-76.28,2022-09-13 08:46:00,1,12468.0000,270.00
2022-09-12 21:43:20,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12745.8691,1,2022-09-12 23:05:44,12763.4237,-0.14,-36.26,2022-09-12 23:05:00,1,12764.0000,-36.00
2022-09-09 11:53:04,SHORT,2,@MNQU2,MICRO E-MINI NASDAQ 100,12603.0654,2,2022-09-11 18:50:29,12653.8691,-1.06,-265.26,2022-09-11 18:03:00,1,12679.5000,-205.00
2022-09-09 10:02:09,LONG,1,@MNQU2,MICRO E-MINI NASDAQ 100,12521.7059,1,2022-09-09 10:15:06,12528.7048,-0.09,-22.41,2022-09-09 10:13:00,1,12510.5000,13.00
2022-09-09 09:17:20,LONG,1,@MNQU2,MICRO E-MINI NASDAQ 100,12449.3478,1,2022-09-09 09:32:59,12463.5205,-0.34,-86.70,2022-09-09 09:28:00,1,12406.0000,27.00
2022-09-08 19:24:50,LONG,1,@MNQU2,MICRO E-MINI NASDAQ 100,12354.7885,1,2022-09-08 19:39:02,12350.5351,-0.04,-11.00,2022-09-08 19:32:00,1,12348.2000,-10.00
2022-09-08 14:00:00,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12262.5364,1,2022-09-08 14:29:27,12267.2729,-0.14,-34.43,2022-09-08 14:06:00,1,12279.8000,-10.00
2022-09-08 11:39:13,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12334.3270,1,2022-09-08 12:38:20,12202.7207,-0.02,-4.35,2022-09-08 11:47:00,1,12336.5000,262.00
2022-09-08 10:38:36,LONG,2,@MNQU2,MICRO E-MINI NASDAQ 100,12301.0628,2,2022-09-08 11:11:23,12357.5145,-0.23,-57.25,2022-09-08 10:42:00,2,12286.8000,224.00
2022-09-08 09:00:01,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12183.0968,1,2022-09-08 10:38:36,12302.3375,-0.97,-243.31,2022-09-08 10:38:00,1,12304.8000,-239.00
2022-09-07 14:30:38,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12249.1976,1,2022-09-07 16:27:37,12270.2620,-0.46,-114.11,2022-09-07 15:29:00,1,12306.2000,-43.00
2022-09-07 14:16:51,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12225.8294,1,2022-09-07 14:26:06,12224.6921,-0.05,-11.34,2022-09-07 14:26:00,1,12231.5000,1.00
2022-09-06 20:32:01,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,11933.7288,1,2022-09-07 00:00:19,11991.2490,-0.80,-201.54,2022-09-07 00:00:00,1,12034.5000,-116.00
2022-09-06 12:10:31,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12078.8672,1,2022-09-06 12:30:58,12047.0101,-0.07,-16.77,2022-09-06 12:14:00,1,12087.2000,63.00
2022-09-06 09:39:00,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12088.9291,1,2022-09-06 10:29:02,11995.8741,-0.21,-51.64,2022-09-06 09:42:00,1,12114.8000,185.00
2022-09-02 15:00:00,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12107.1927,1,2022-09-02 15:54:52,12103.0271,-0.44,-109.11,2022-09-02 15:07:00,1,12161.8000,7.00
2022-09-02 14:00:00,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12093.5736,1,2022-09-02 14:39:34,12149.8587,-0.48,-119.35,2022-09-02 14:38:00,1,12153.2000,-114.00
2022-09-02 11:09:58,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12399.7725,1,2022-09-02 11:12:00,12400.3294,-0.08,-19.95,2022-09-02 11:12:00,1,12409.8000,-2.00
2022-09-02 10:40:40,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12443.2621,1,2022-09-02 10:56:14,12374.7471,-0.11,-27.48,2022-09-02 10:43:00,1,12457.0000,136.00
2022-09-02 09:42:18,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12299.3112,1,2022-09-02 10:03:49,12279.9316,-0.51,-127.38,2022-09-02 09:51:00,1,12363.0000,38.00
2022-09-01 09:08:00,LONG,2,@MNQU2,MICRO E-MINI NASDAQ 100,12133.4603,2,2022-09-01 14:38:53,12159.9700,-1.87,-460.84,2022-09-01 12:57:00,2,12018.2000,104.00
2022-08-31 15:00:00,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12296.7143,1,2022-08-31 15:15:01,12350.7882,-0.60,-150.07,2022-08-31 15:15:00,1,12371.8000,-109.00
2022-08-31 13:01:32,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12345.7314,1,2022-08-31 13:54:19,12311.3871,-0.20,-49.54,2022-08-31 13:13:00,1,12370.5000,68.00
2022-08-31 11:03:46,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12333.3940,1,2022-08-31 11:06:39,12315.5948,0.00,0.00,2022-08-31 11:03:46,,0.0000,35.00
2022-08-31 09:36:47,LONG,1,@MNQU2,MICRO E-MINI NASDAQ 100,12417.8283,1,2022-08-31 09:45:00,12469.3827,-0.08,-20.66,2022-08-31 09:39:00,1,12407.5000,102.00
2022-08-31 06:40:49,LONG,1,@MNQU2,MICRO E-MINI NASDAQ 100,12442.0082,1,2022-08-31 08:21:16,12452.5808,-0.24,-60.52,2022-08-31 07:50:00,1,12411.8000,20.00
2022-08-30 15:08:58,LONG,1,@MNQU2,MICRO E-MINI NASDAQ 100,12351.5800,1,2022-08-30 15:15:00,12371.0433,0.00,0.00,2022-08-30 15:08:58,,0.0000,38.00
2022-08-30 14:07:40,LONG,1,@MNQU2,MICRO E-MINI NASDAQ 100,12314.0989,1,2022-08-30 15:04:19,12334.3222,-0.27,-67.20,2022-08-30 14:27:00,1,12280.5000,39.00
2022-08-30 11:00:00,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12341.0800,1,2022-08-30 11:51:09,12341.1056,-0.32,-79.84,2022-08-30 11:34:00,1,12381.0000,-1.00
2022-08-29 15:01:24,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12564.4301,1,2022-08-29 15:02:20,12582.9639,-0.15,-37.00,2022-08-29 15:02:20,1,12583.0000,-38.00
2022-08-29 14:50:47,SHORT,2,@MNQU2,MICRO E-MINI NASDAQ 100,12544.6456,2,2022-08-29 14:59:24,12540.2230,-0.11,-27.71,2022-08-29 14:59:00,1,12558.5000,16.00
2022-08-29 14:14:19,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12545.9390,1,2022-08-29 14:24:19,12533.0488,0.00,0.00,2022-08-29 14:14:19,,0.0000,25.00
2022-08-29 13:15:44,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12562.7793,1,2022-08-29 13:28:04,12554.8768,0.00,0.00,2022-08-29 13:15:44,,0.0000,15.00
2022-08-29 10:33:25,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12538.9825,1,2022-08-29 10:40:32,12509.8762,0.00,0.00,2022-08-29 10:33:25,,0.0000,57.00
2022-08-26 05:49:33,SHORT,2,@MNQU2,MICRO E-MINI NASDAQ 100,12981.8390,2,2022-08-28 20:15:36,12633.0248,-1.22,-282.23,2022-08-26 09:08:00,1,13220.0000,1393.00
2022-08-25 15:01:39,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,13062.2065,1,2022-08-25 15:54:04,13141.9221,-0.73,-171.09,2022-08-25 15:54:00,1,13147.8000,-160.00
2022-08-22 14:07:42,LONG,1,@MNQU2,MICRO E-MINI NASDAQ 100,12927.6211,1,2022-08-23 02:14:07,12851.6297,-0.68,-159.74,2022-08-23 02:14:00,1,12847.8000,-153.00
2022-08-22 09:52:02,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,13012.1592,1,2022-08-22 10:27:37,12988.5400,-0.32,-74.18,2022-08-22 09:56:00,1,13049.2000,46.00
2022-08-21 19:54:01,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,13185.6571,1,2022-08-21 22:26:09,13206.8413,-0.19,-44.19,2022-08-21 22:25:00,1,13207.8000,-43.00
2022-08-21 18:03:07,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,13191.2492,1,2022-08-21 19:07:58,13209.6476,-0.16,-38.00,2022-08-21 19:07:00,1,13210.2000,-38.00
2022-08-19 08:24:18,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,13369.4621,1,2022-08-19 09:57:09,13316.1982,-0.48,-111.58,2022-08-19 09:32:00,1,13425.2000,106.00
2022-08-18 20:36:37,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,13496.8193,1,2022-08-18 21:42:01,13496.2776,-0.12,-28.86,2022-08-18 21:17:00,1,13511.2000,0.00
2022-08-18 13:56:17,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,13539.0250,1,2022-08-18 14:53:07,13533.2946,-0.13,-30.95,2022-08-18 14:17:00,1,13554.5000,10.00
2022-08-17 14:14:25,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,13562.3702,1,2022-08-17 16:44:56,13511.4277,-0.46,-107.76,2022-08-17 14:39:00,1,13616.2000,101.00
2022-08-16 11:33:20,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,13644.6691,1,2022-08-17 11:57:08,13425.5061,-0.84,-191.66,2022-08-16 14:10:00,1,13740.5000,437.00
2022-08-16 10:42:25,LONG,1,@MNQU2,MICRO E-MINI NASDAQ 100,13549.2222,1,2022-08-16 10:42:37,13549.0907,0.00,0.00,2022-08-16 10:42:25,,0.0000,-1.00
2022-08-16 10:30:00,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,13560.3463,1,2022-08-16 10:42:24,13549.7648,0.00,0.00,2022-08-16 10:30:00,,0.0000,20.00
2022-08-15 12:02:01,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,13645.9722,1,2022-08-16 05:08:49,13662.2759,-0.52,-119.56,2022-08-15 15:21:00,1,13705.8000,-34.00
2022-08-15 10:16:23,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,13560.2509,1,2022-08-15 10:58:00,13555.8278,-0.31,-72.50,2022-08-15 10:42:00,1,13596.5000,8.00
2022-08-12 12:03:22,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,13467.4109,1,2022-08-15 05:42:04,13504.2981,-1.01,-231.18,2022-08-12 15:59:00,1,13583.0000,-75.00
2022-08-11 11:03:41,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,13466.7349,1,2022-08-11 14:36:16,13352.4854,0.00,0.00,2022-08-11 11:03:41,,0.0000,228.00
2022-08-11 09:30:00,LONG,1,@MNQU2,MICRO E-MINI NASDAQ 100,13492.1200,1,2022-08-11 10:11:56,13546.0725,-0.32,-72.24,2022-08-11 09:34:00,1,13456.0000,107.00
2022-08-10 18:37:27,LONG,1,@MNQU2,MICRO E-MINI NASDAQ 100,13374.3878,1,2022-08-10 21:09:27,13448.6615,-0.01,-1.28,2022-08-10 18:41:00,1,13373.8000,148.00
2022-08-10 10:13:18,SHORT,2,@MNQU2,MICRO E-MINI NASDAQ 100,13344.1716,2,2022-08-10 16:33:09,13390.8839,-1.12,-255.31,2022-08-10 15:54:00,2,13408.0000,-189.00
2022-08-09 12:30:00,SHORT,2,@MNQU2,MICRO E-MINI NASDAQ 100,13000.0273,2,2022-08-10 08:28:00,13055.2823,-1.28,-293.44,2022-08-10 08:28:00,1,13146.8000,-223.00
2022-08-09 08:33:45,LONG,1,@MNQU2,MICRO E-MINI NASDAQ 100,13114.4568,1,2022-08-09 08:42:21,13105.4545,-0.11,-24.41,2022-08-09 08:42:00,1,13102.2000,-19.00
2022-08-08 21:42:35,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,13173.3342,1,2022-08-08 21:50:16,13175.5842,-0.04,-10.33,2022-08-08 21:50:00,1,13178.5000,-6.00
2022-08-08 09:02:54,SHORT,2,@MNQU2,MICRO E-MINI NASDAQ 100,13336.4947,2,2022-08-08 19:12:08,13295.1119,-1.46,-332.02,2022-08-08 10:03:00,2,13419.5000,164.00
2022-08-07 18:41:15,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,13178.4861,1,2022-08-07 20:21:16,13195.8167,-0.17,-38.03,2022-08-07 20:18:00,1,13197.5000,-36.00
2022-08-05 14:00:14,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,13188.7026,1,2022-08-05 14:10:28,13183.9947,-0.07,-16.59,2022-08-05 14:06:00,1,13197.0000,8.00
2022-08-05 10:17:37,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,13280.7838,1,2022-08-05 10:35:13,13258.7459,-0.26,-58.43,2022-08-05 10:22:00,1,13310.0000,43.00
2022-08-03 15:35:26,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,13285.3143,1,2022-08-03 18:00:00,13244.9111,-0.22,-50.37,2022-08-03 15:54:00,1,13310.5000,80.00
2022-08-03 13:38:39,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,13263.6083,1,2022-08-03 13:45:19,13260.4583,-0.03,-5.78,2022-08-03 13:44:00,1,13266.5000,5.00
2022-08-03 05:30:00,LONG,1,@MNQU2,MICRO E-MINI NASDAQ 100,12983.1357,1,2022-08-03 10:21:06,13123.7269,-0.25,-57.27,2022-08-03 06:51:00,1,12954.5000,280.00
2022-08-02 13:34:35,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12944.8800,1,2022-08-02 13:47:31,12923.3920,0.00,0.00,2022-08-02 13:34:35,,0.0000,42.00
2022-08-02 11:13:39,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12945.9360,1,2022-08-02 11:19:59,12945.0520,-0.10,-22.63,2022-08-02 11:19:00,1,12957.2000,1.00
2022-08-01 10:29:31,SHORT,2,@MNQU2,MICRO E-MINI NASDAQ 100,13038.5380,2,2022-08-01 13:41:34,12986.1473,-1.12,-248.46,2022-08-01 10:54:00,1,13108.5000,208.00
2022-08-01 10:26:15,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12990.6720,1,2022-08-01 10:27:14,12982.6160,0.00,0.00,2022-08-01 10:26:15,,0.0000,15.00
2022-07-29 15:39:40,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12996.2000,1,2022-07-29 15:57:39,12968.9941,-0.15,-32.60,2022-07-29 15:50:00,1,13012.5000,53.00
2022-07-29 10:52:27,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12900.7700,1,2022-07-29 11:28:51,12812.3222,-0.07,-16.46,2022-07-29 10:55:00,1,12909.0000,176.00
2022-07-29 09:02:23,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12817.0474,1,2022-07-29 09:21:06,12798.6158,0.00,0.00,2022-07-29 09:02:23,,0.0000,36.00
2022-07-28 22:21:13,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12906.6727,1,2022-07-28 22:25:24,12908.3682,-0.04,-8.15,2022-07-28 22:24:00,1,12910.8000,-4.00
2022-07-28 16:40:14,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12917.6870,1,2022-07-28 19:29:43,12890.4857,-0.09,-19.13,2022-07-28 16:57:00,1,12927.2000,53.00
2022-07-28 15:10:03,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12742.0435,1,2022-07-28 15:16:17,12728.3652,-0.02,-3.91,2022-07-28 15:14:00,1,12744.0000,26.00
2022-07-27 15:58:33,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12627.7158,1,2022-07-27 16:05:25,12565.5526,0.00,0.00,2022-07-27 15:58:33,,0.0000,123.00
2022-07-27 09:49:33,SHORT,2,@MNQU2,MICRO E-MINI NASDAQ 100,12418.1283,2,2022-07-27 12:57:24,12421.0913,-0.53,-115.24,2022-07-27 12:26:00,1,12475.8000,-14.00
2022-07-27 09:21:50,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12302.3895,1,2022-07-27 09:32:01,12296.3789,-0.22,-48.72,2022-07-27 09:30:00,1,12326.8000,11.00
2022-07-26 11:14:50,LONG,2,@MNQU2,MICRO E-MINI NASDAQ 100,12146.0544,2,2022-07-26 16:53:34,12176.7606,-1.40,-304.22,2022-07-26 16:00:00,2,12070.0000,121.00
2022-07-25 20:11:11,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12295.7136,1,2022-07-25 21:11:28,12294.3727,-0.05,-10.07,2022-07-25 20:14:00,1,12300.8000,2.00
2022-07-24 18:03:20,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12410.1706,1,2022-07-24 21:04:10,12387.8471,-0.24,-52.16,2022-07-24 20:24:00,1,12436.2000,44.00
2022-07-21 11:07:59,SHORT,2,@MNQU2,MICRO E-MINI NASDAQ 100,12544.4356,2,2022-07-22 15:26:27,12484.7852,-1.42,-306.26,2022-07-21 12:32:00,2,12621.0000,237.00
2022-07-21 09:22:51,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12488.1647,1,2022-07-21 10:59:53,12481.1714,-0.49,-106.17,2022-07-21 10:01:00,1,12541.2000,13.00
2022-07-20 22:21:23,LONG,2,@MNQU2,MICRO E-MINI NASDAQ 100,12426.8243,2,2022-07-20 22:25:35,12424.0973,-0.09,-19.30,2022-07-20 22:24:00,2,12422.0000,-13.00
2022-07-19 10:36:53,SHORT,3,@MNQU2,MICRO E-MINI NASDAQ 100,12208.0787,3,2022-07-19 20:25:33,12320.0965,-4.70,-1014.65,2022-07-19 18:00:00,2,12405.0000,-675.00
2022-07-19 09:57:54,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12048.6150,1,2022-07-19 10:20:41,12040.3900,-0.21,-46.27,2022-07-19 10:13:00,1,12071.8000,15.00
2022-07-18 13:01:10,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12142.2000,1,2022-07-18 13:35:33,12070.9579,-0.07,-14.60,2022-07-18 13:05:00,1,12149.5000,141.00
2022-07-18 06:48:50,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,12146.0438,1,2022-07-18 08:29:50,12106.9375,-0.17,-37.41,2022-07-18 07:24:00,1,12164.8000,77.00
2022-07-14 10:34:03,LONG,1,@MNQU2,MICRO E-MINI NASDAQ 100,11581.4706,1,2022-07-14 11:32:18,11633.6824,-0.32,-69.94,2022-07-14 10:46:00,1,11546.5000,103.00
2022-07-13 15:44:26,SHORT,1,@MNQU2,MICRO E-MINI NASDAQ 100,11767.9308,1,2022-07-13 16:50:51,11732.3778,-0.20,-43.64,2022-07-13 15:57:00,1,11789.8000,70.00
