Gmt time,Open,High,Low,Close,Volume
15.04.2021 17:00:00.000,0.92230,0.92302,0.92187,0.92216,2514.5
15.04.2021 18:00:00.000,0.92216,0.92232,0.92134,0.92173,2053.1799
15.04.2021 19:00:00.000,0.92172,0.92203,0.92132,0.92134,2320.3899
15.04.2021 20:00:00.000,0.92136,0.92233,0.92133,0.92219,1184.64
15.04.2021 21:00:00.000,0.92216,0.92272,0.92128,0.92185,2677.29
15.04.2021 22:00:00.000,0.92170,0.92229,0.92170,0.92217,442.94
15.04.2021 23:00:00.000,0.92218,0.92221,0.92191,0.92195,598.15
16.04.2021 00:00:00.000,0.92196,0.92282,0.92168,0.92278,1484.29
16.04.2021 01:00:00.000,0.92279,0.92348,0.92242,0.92276,2495.2
16.04.2021 02:00:00.000,0.92277,0.92313,0.92254,0.92311,1214.75
16.04.2021 03:00:00.000,0.92310,0.92310,0.92253,0.92255,1118.37
16.04.2021 04:00:00.000,0.92255,0.92261,0.92206,0.92211,1118.63
16.04.2021 05:00:00.000,0.92211,0.92218,0.92150,0.92161,2023.03
16.04.2021 06:00:00.000,0.92161,0.92227,0.92127,0.92171,3253.99
16.04.2021 07:00:00.000,0.92170,0.92204,0.91789,0.91828,5839.1001
16.04.2021 08:00:00.000,0.91828,0.92019,0.91821,0.91986,4828.3701
16.04.2021 09:00:00.000,0.91985,0.92036,0.91890,0.91925,3471.5901
16.04.2021 10:00:00.000,0.91926,0.91960,0.91858,0.91874,3613.53
16.04.2021 11:00:00.000,0.91874,0.91927,0.91832,0.91897,4126.7002
16.04.2021 12:00:00.000,0.91898,0.92010,0.91849,0.91917,5052.21
16.04.2021 13:00:00.000,0.91916,0.92011,0.91889,0.91970,5733.23
16.04.2021 14:00:00.000,0.91971,0.91976,0.91816,0.91894,5348.1299
16.04.2021 15:00:00.000,0.91894,0.91976,0.91860,0.91967,3141.3701
16.04.2021 16:00:00.000,0.91969,0.92002,0.91942,0.91991,2039.16
16.04.2021 17:00:00.000,0.91991,0.92043,0.91984,0.92031,1141.15
16.04.2021 18:00:00.000,0.92034,0.92060,0.91980,0.91983,1375.9301
16.04.2021 19:00:00.000,0.91983,0.92012,0.91961,0.91974,1193.4
16.04.2021 20:00:00.000,0.91975,0.92002,0.91969,0.91972,1025.3101
16.04.2021 21:00:00.000,0.91972,0.91972,0.91972,0.91972,0
