Date,Open,High,Low,Close,Volume
02/26/2015,128.7031,129.0312,128.0938,128.2812,1359816
02/25/2015,128.7031,128.8906,128.5156,128.7188,1924977
02/24/2015,128.0312,128.7812,127.5781,128.6875,2403090
02/23/2015,127.5,128.0469,127.4219,128.0156,1311074
02/20/2015,127.5469,128.2344,127.3125,127.4062,1444001
02/19/2015,127.9688,128.25,127.5,127.5938,1192770
02/18/2015,127.3594,128.25,127.0625,128.0156,1542513
02/17/2015,128.2969,128.4375,127.1406,127.25,1590962
02/16/2015,128.2344,128.2344,128.2344,128.2344,0
02/13/2015,128.4375,128.5,128.0469,128.2344,872653
02/12/2015,128.1562,128.5938,127.8594,128.4219,1410503
02/11/2015,128.375,128.5938,128,128.3594,1072363
02/10/2015,128.4375,128.5625,128.125,128.3594,1222990
02/09/2015,128.6094,129.1094,128.3438,128.6094,1100046
02/06/2015,129.7969,130.3594,128.4688,128.7188,1772691
02/05/2015,129.7969,130.625,129.6562,129.8594,1153727
02/04/2015,130.3594,130,130,130,0
02/03/2015,130.9219,131.0469,129.8906,130.0625,1311686
02/02/2015,131.0469,131.1094,130.5625,130.9219,1225890
01/30/2015,130.2031,131.1719,130.125,130.875,1631076
01/29/2015,130.4219,130.5312,129.9062,130.1875,1241381
01/28/2015,129.6562,130.625,129.5,130.4688,1233194
01/27/2015,129.5469,130.1719,129.5,129.6562,1143208
01/26/2015,130,130.1875,129.375,129.5,875700
01/23/2015,129.3125,130.0156,129.2188,129.6719,1134234
01/22/2015,129.3594,129.8438,128.7344,129.125,1638310
01/21/2015,129.9375,130.1406,129.2812,129.4375,1485440
01/20/2015,129.9844,130.3438,129.6562,129.8594,1303801
01/19/2015,129.8594,129.8594,129.8594,129.8594,0
01/16/2015,130.75,130.9375,129.7344,129.8594,1562617
01/15/2015,130.3438,130.3438,130.3438,130.3438,0
01/14/2015,129.2656,130.2344,129.2031,129.7656,1913416
01/13/2015,129.1094,129.5469,128.8438,129.3125,1590576
01/12/2015,128.7812,129.1406,128.5312,129.0625,797813
01/09/2015,128.1094,128.8438,128.0625,128.5781,1416380
01/08/2015,128.3125,128.375,127.9688,128.1094,908440
01/07/2015,128.5,128.6875,128.0156,128.4688,1419293
01/06/2015,127.75,129.1094,127.7344,128.3594,1660285
01/05/2015,127.1562,127.8438,127.0469,127.7656,858335
01/02/2015,126.6094,127.3281,126.4062,127.1562,740151
01/01/2015,126.7969,126.7969,126.7969,126.7969,0
12/31/2014,126.6094,126.8125,126.5625,126.7969,254618
12/30/2014,126.375,126.75,126.375,126.5781,381845
12/29/2014,126,126.4844,125.9688,126.3906,392606
12/26/2014,125.9844,126.1094,125.9219,126.0156,123138
12/25/2014,125.9531,125.9531,125.9531,125.9531,0
12/24/2014,125.9844,126.1875,125.6562,125.9531,298530
12/23/2014,126.7188,126.7969,125.9062,126,531318
12/22/2014,126.6875,126.8281,126.5156,126.7031,401472
12/19/2014,126.4531,126.7812,126.2812,126.6406,751747
12/18/2014,126.9375,127.2344,126.3125,126.4844,1161398
12/17/2014,127.7188,127.8438,126.8906,126.9531,1241533
12/16/2014,127.2812,128.3906,127.2656,127.6406,1398051
12/15/2014,127.625,127.875,127.1875,127.25,1336607
12/12/2014,126.9219,127.7969,126.9062,127.5469,1457995
12/11/2014,127.0938,127.375,126.5938,126.875,1441962
12/10/2014,127.1094,127.0938,127.0938,127.0938,0
12/09/2014,126.2031,126.875,126.1094,126.5938,1389600
12/08/2014,125.8438,126.375,125.5469,126.2188,1018001
12/05/2014,126.625,126.6406,125.7344,125.9062,1599354
12/04/2014,126.3438,126.6406,126.1406,126.5,1079890
12/03/2014,126.3125,126.4219,126.1562,126.2812,1101272
12/02/2014,126.7812,126.8281,126.2656,126.3438,1233085
12/01/2014,127.2031,127.4844,126.7031,126.9219,1348979
11/28/2014,126.9531,127.1719,126.6562,127.0469,695405
11/27/2014,127.3594,127.3594,127.3594,127.3594,0
11/26/2014,127.2969,127.3438,127.2812,127.3594,1437
11/25/2014,126.7812,127.1562,126.6875,127.125,2594676
11/24/2014,126.6875,126.875,126.5156,126.7812,1648185
11/21/2014,126.5156,126.7188,126.3594,126.6875,1076612
11/20/2014,126.3438,126.8125,126.3438,126.5625,1495668
11/19/2014,126.6406,126.7031,126.2656,126.3906,1105781
11/18/2014,126.5,126.7344,126.4688,126.6406,795987
11/17/2014,126.6094,127,126.4219,126.4688,943013
11/14/2014,126.5156,126.75,126.1719,126.6875,1121799
11/13/2014,126.2188,126.5469,126.1562,126.4844,1015817
11/12/2014,126.1875,126.625,126.1094,126.3281,968760
11/11/2014,126.2656,126.3438,126.0625,126.1094,221204
11/10/2014,126.2656,126.2656,126.2656,126.2656,0
11/07/2014,126,126.75,125.8438,126.6562,1551338
11/06/2014,126.3281,126.4688,125.9062,126.0625,1070800
11/05/2014,126.3281,126.4219,126.0625,126.2812,880687
11/04/2014,126.3125,126.625,126.2188,126.2812,1073438
11/03/2014,126.4219,126.625,125.9531,126.2656,1096395
10/31/2014,126.625,126.7344,126.2031,126.3594,1336097
10/30/2014,126.5469,126.7656,126.3125,126.625,1303263
10/29/2014,126.8906,127.0156,126.1875,126.4531,1094820
10/28/2014,127.0938,127.2188,126.8125,126.9531,1130155
10/27/2014,126.9688,127.25,126.7969,127.1406,857135
10/24/2014,127.0625,127.4531,127,127.0312,1294786
10/23/2014,127.5469,127.6875,126.8125,127.0156,1348108
10/22/2014,127.5312,127.875,127.2344,127.4219,1242617
10/21/2014,127.7344,128.2656,127.4375,127.6562,1385119
10/20/2014,127.625,127.9688,127.3906,127.8125,1352418
10/17/2014,127.9844,128.3281,127.4375,127.6406,1886911
10/16/2014,128.2344,129.5625,127.7812,128.0469,3112372
10/15/2014,127.5,130.5312,127.2344,128.5625,3949160
10/14/2014,127.3438,127.7344,127,127.4375,2039863
10/13/2014,126.7656,127.3906,126.7031,127.1562,514401
10/10/2014,126.5156,126.7812,126.2188,126.5469,1342833
10/09/2014,126.4531,126.8906,126.3438,126.4375,2175858
10/08/2014,126.0625,126.625,125.7969,126.375,2203046
10/07/2014,125.4531,126.125,125.3594,126,1488095
10/06/2014,125.1875,125.5781,125.1094,125.4062,1062734
10/03/2014,125.3906,125.4062,124.8125,125.1406,1720837
10/02/2014,125.625,125.7188,125.2656,125.3125,1702741
10/01/2014,124.7969,125.6562,124.6875,125.5156,1877471
09/30/2014,124.8438,124.8594,124.5,124.6406,1337205
09/29/2014,124.5,124.875,124.3906,124.7656,1062218
09/26/2014,124.7812,124.9219,124.3438,124.4375,1577671
09/25/2014,124.2812,124.8438,124.2656,124.75,1367719
09/24/2014,124.5625,124.5938,124.25,124.2812,992029
09/23/2014,124.2656,124.5938,124.25,124.5312,849832
09/22/2014,124.0312,124.3906,124.0312,124.2812,978786
09/19/2014,123.7969,124.0938,123.5,124,1083333
09/18/2014,123.7969,123.9531,123.5625,123.7344,1281098
09/17/2014,124.2031,124.625,123.8125,124.0469,1553036
09/16/2014,124.1562,124.4531,124.125,124.2188,1096506
09/15/2014,124.0469,124.25,123.9219,124.1562,838885
09/12/2014,124.4062,124.4531,123.9531,123.9844,1454666
09/11/2014,124.4219,124.7031,124.3281,124.5,1263254
09/10/2014,124.625,124.7188,124.375,124.4844,1178445
09/09/2014,124.8594,124.9219,124.5781,124.6562,1204579
09/08/2014,125.0625,125.375,124.8594,124.9531,1031992
09/05/2014,124.9844,125.6719,124.8125,125.0625,1594690
09/04/2014,125.3281,125.5469,124.875,124.9844,1555950
09/03/2014,125.25,125.3438,124.7656,125.2344,1248954
09/02/2014,125.7031,125.7656,125.2031,125.2344,1263572
09/01/2014,125.7812,125.7812,125.7812,125.7812,0
08/29/2014,125.8281,125.9062,125.6719,125.7812,1057484
08/28/2014,126.25,126.5781,126.2344,126.4062,1478830
08/27/2014,126,126.3125,125.9688,126.2344,2206818
08/26/2014,125.9844,126.2031,125.9375,126.0312,1782325
08/25/2014,125.8438,126.0781,125.8125,125.9531,1199965
08/22/2014,126,126.2344,125.6094,125.8906,1350013
08/21/2014,125.9219,126.125,125.7812,126.0156,1058141
08/20/2014,126.25,126.2969,125.7969,125.9219,1116619
08/19/2014,126.2812,126.5938,126.2031,126.2188,900058
08/18/2014,126.625,126.6562,126.25,126.3594,712889
08/15/2014,126.25,127.0312,126.1719,126.6406,1509794
08/14/2014,126.125,126.4375,126.0156,126.2969,1239657
08/13/2014,126.1406,126.1406,126.1406,126.1406,0
08/12/2014,125.8594,126,125.7656,125.8281,806214
08/11/2014,125.8281,126,125.7344,125.9219,758663
08/08/2014,125.9531,126.5469,125.8594,125.9688,1710296
08/07/2014,125.5156,126.0156,125.3906,125.9219,1292827
08/06/2014,125.3438,125.7656,125.3125,125.5,1182555
08/05/2014,125.4375,125.5469,125.0938,125.3906,1130186
08/04/2014,125.25,125.5625,125.1719,125.375,721407
08/01/2014,124.6406,125.3906,124.4062,125.25,2207552
07/31/2014,124.6875,124.7656,124.2344,124.6094,1788358
07/30/2014,125.3438,125.4219,124.4375,124.6562,1773732
07/29/2014,125.1562,125.4375,125.0312,125.375,1082039
07/28/2014,125.2969,125.3281,125.0625,125.125,724134
07/25/2014,125.1094,125.3594,124.9375,125.3125,902571
07/24/2014,125.4062,125.4688,124.9531,125.0469,1101011
07/23/2014,125.4219,125.5469,125.2969,125.4219,591717
07/22/2014,125.3125,125.4531,125.0625,125.4062,989841
07/21/2014,125.2344,125.5156,125.1875,125.2656,675373
07/18/2014,125.5938,125.7344,125.1562,125.2812,962742
07/17/2014,124.9844,125.6719,124.9688,125.3594,1476855
07/16/2014,124.9219,125.0469,124.75,124.8906,696237
07/15/2014,125,125.25,124.75,124.9062,1275244
07/14/2014,125.2188,125.25,124.9688,124.9688,503625
07/11/2014,125.125,125.375,125.0312,125.2188,652761
07/10/2014,124.9062,125.4844,124.9062,125.1719,1360625
07/09/2014,124.7656,125,124.4219,124.9844,1107103
07/08/2014,124.4062,124.875,124.3281,124.75,985053
07/07/2014,124.2188,124.4219,124.0625,124.3906,555604
07/04/2014,124.2188,124.2188,124.2188,124.2188,0
07/03/2014,124.25,124.25,124.2188,124.2188,2075
07/02/2014,124.8594,124.9844,124.375,124.3906,1054050
07/01/2014,124.8281,124.875,124.875,124.875,0
06/30/2014,125.0938,125.2344,124.9531,125.1719,801206
06/27/2014,125,125.2812,124.9844,125.0938,722392
06/26/2014,124.7656,125.1719,124.7031,125.0781,1100852
06/25/2014,124.5938,125.0781,124.5469,124.7969,1122977
06/24/2014,124.25,124.6406,124.2188,124.5625,1102356
06/23/2014,124.375,124.5312,124.2188,124.2656,648189
06/20/2014,124.375,124.4531,124.0781,124.2656,803019
06/19/2014,124.5,124.7344,124.125,124.3438,1279166
06/18/2014,123.875,124.5,123.7812,124.2188,1303695
06/17/2014,124.3125,124.3906,123.8438,123.8594,1063586
06/16/2014,124.3125,124.5156,124.1875,124.3125,732423
06/13/2014,124.3594,124.4219,123.9531,124.2969,1172572
06/12/2014,124.0625,124.6406,123.9062,124.5469,1332636
